loss_vf_loss,loss_kl,EpisodesSoFar,TimeElapsed,TimestepsSoFar,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,loss_ent,EpThisIter,EpRewMean,EpLenMean
0.07192213,0.006875363,0,0.3686184883117676,256,-0.020723995,-3.7172799110412598,-0.024855347,2.0723996,0,,
0.031918246,0.0043566814,0,0.5462427139282227,512,-0.02067114,0.07348281145095825,-0.027088515,2.067114,0,,
0.039478716,0.003987359,1,0.7192471027374268,768,-0.02055027,0.5878463983535767,-0.016739774,2.055027,1,4.0,522.0
0.021022374,0.0057975156,1,0.8889510631561279,1024,-0.020442761,0.8732391893863678,-0.020043347,2.0442762,0,4.0,522.0
0.043571267,0.0044111987,2,1.0708308219909668,1280,-0.0204525,0.6781526207923889,-0.015709696,2.04525,1,3.0,625.0
0.0208988,0.0018250546,2,1.2433171272277832,1536,-0.020494532,0.9135063290596008,-0.013379839,2.0494533,0,3.0,625.0
0.0412772,0.0064928494,2,1.412752628326416,1792,-0.020458002,0.8694814443588257,-0.022429176,2.0458002,0,3.0,625.0
0.020362418,0.006962517,3,1.5828444957733154,2048,-0.020353286,0.9148624241352081,-0.014539091,2.0353284,1,2.6666666666666665,648.3333333333334
0.09365113,0.007265733,3,1.7561149597167969,2304,-0.020252567,0.378274142742157,-0.02280562,2.0252566,0,2.6666666666666665,648.3333333333334
0.03795912,0.017792562,4,1.9272964000701904,2560,-0.020301396,0.7138745188713074,-0.031404085,2.0301394,1,1.25,635.25
0.023409076,0.005007316,4,2.103163242340088,2816,-0.02024381,0.8488077521324158,-0.020293895,2.0243812,0,1.25,635.25
0.023905005,0.008748649,4,2.271357774734497,3072,-0.020160828,0.8679755628108978,-0.01803193,2.0160828,0,1.25,635.25
0.027371554,0.007148256,5,2.4452836513519287,3328,-0.020060074,0.7052160799503326,-0.01858354,2.0060074,1,1.6,640.4
0.023522452,0.004509072,5,2.6103391647338867,3584,-0.020102583,0.2304006814956665,-0.017321296,2.0102582,0,1.6,640.4
0.024163427,0.007853057,5,2.779670476913452,3840,-0.01987947,0.7067523002624512,-0.024362054,1.9879467,0,1.6,640.4
0.037738405,0.0029743244,6,2.947563409805298,4096,-0.01991766,0.39480966329574585,-0.017080687,1.991766,1,1.6666666666666667,649.5
0.028618807,0.002881661,6,3.1272764205932617,4352,-0.020051416,0.8172870129346848,-0.013224579,2.0051417,0,1.6666666666666667,649.5
0.013846705,0.004670364,7,3.297313928604126,4608,-0.019874647,0.8988726437091827,-0.014018511,1.9874647,1,1.8571428571428572,644.4285714285714
0.021447245,0.006691897,7,3.470247507095337,4864,-0.019890485,0.8925029411911964,-0.018526364,1.9890485,0,1.8571428571428572,644.4285714285714
0.014976765,0.004839268,7,3.6439244747161865,5120,-0.020119492,0.7806313037872314,-0.019497331,2.0119495,0,1.8571428571428572,644.4285714285714
0.027452862,0.0041085044,8,3.818213701248169,5376,-0.020056479,0.902539886534214,-0.018307792,2.0056477,1,1.875,640.125
0.014154313,0.008479733,8,3.9882099628448486,5632,-0.019692538,0.9404506087303162,-0.029598573,1.9692539,0,1.875,640.125
0.00980648,0.0045794323,9,4.163191795349121,5888,-0.01973433,0.9721603076905012,-0.016190128,1.9734331,1,1.7777777777777777,647.0
0.012954077,0.0051403553,9,4.335851669311523,6144,-0.019416675,0.9544695504009724,-0.012191776,1.9416676,0,1.7777777777777777,647.0
0.02482063,0.0037573022,9,4.505019903182983,6400,-0.019719055,0.9118421673774719,-0.010410866,1.9719055,0,1.7777777777777777,647.0
0.013181821,0.008280851,10,4.675168037414551,6656,-0.019405682,0.947313092648983,-0.017826002,1.940568,1,1.8,650.6
0.021631146,0.009357644,10,4.8462278842926025,6912,-0.019509757,0.8676280528306961,-0.025552422,1.9509757,0,1.8,650.6
0.041875433,0.007230272,10,5.0179173946380615,7168,-0.019738106,-0.02791619300842285,-0.014584709,1.9738108,0,1.8,650.6
0.01585171,0.008203069,11,5.186053514480591,7424,-0.019277684,0.8975826874375343,-0.021146253,1.9277683,1,1.9090909090909092,653.0909090909091
0.020527788,0.009255813,11,5.358285427093506,7680,-0.019213773,0.9082536697387695,-0.02037789,1.9213775,0,1.9090909090909092,653.0909090909091
0.018814672,0.008086489,11,5.529325723648071,7936,-0.018897273,0.8865169584751129,-0.026926653,1.8897274,0,1.9090909090909092,653.0909090909091
0.017635884,0.010834408,12,5.699055433273315,8192,-0.019103676,0.908272311091423,-0.024693966,1.9103676,1,1.6666666666666667,665.9166666666666
0.018481882,0.012013835,12,5.867088794708252,8448,-0.019128578,0.5582011640071869,-0.024039783,1.9128578,0,1.6666666666666667,665.9166666666666
0.036390364,0.012749118,12,6.038700103759766,8704,-0.019504812,0.6795822381973267,-0.020453112,1.9504812,0,1.6666666666666667,665.9166666666666
0.028102288,0.012381522,13,6.211119651794434,8960,-0.019095527,0.8926152139902115,-0.03154572,1.9095528,1,1.3846153846153846,670.3846153846154
0.02564606,0.013789596,13,6.383197546005249,9216,-0.019056771,0.8514024466276169,-0.024915354,1.9056771,0,1.3846153846153846,670.3846153846154
